Sample_Group_VS_Control_Group	gene	log2FoldChange	pvalue	padj	mean_norm_counts	IS_Significant	Regulation_direction
challenge VS control	RPS8	0.37	0.010134583	6.14E-02	236.9	NO	No_Regulation
challenge VS control	KIF2C	0.75	0.005502973	4.04E-02	5.89	NO	No_Regulation
challenge VS control	PTPRF	-0.91	2.81E-13	3.59E-10	122.9	NO	No_Regulation
challenge VS control	LMO4	-0.05	0.781920356	8.97E-01	34.91	NO	No_Regulation
challenge VS control	MTF2	-0.02	0.887334121	9.50E-01	44.57	NO	No_Regulation
challenge VS control	SLC44A3	-0.28	0.076199881	2.45E-01	35.19	NO	No_Regulation
challenge VS control	IGSF3	-0.56	0.013295698	7.47E-02	14.77	NO	No_Regulation
challenge VS control	CTTNBP2NL	-0.12	0.453260912	6.89E-01	27.56	NO	No_Regulation
challenge VS control	STRIP1	-0.29	0.207031353	4.46E-01	7.25	NO	No_Regulation
challenge VS control	PSMA5	0.4	0.006337356	4.45E-02	30.98	NO	No_Regulation
challenge VS control	CD53	0.26	0.266591721	5.14E-01	15.45	NO	No_Regulation
challenge VS control	ALDH9A1	-0.03	0.867646402	9.39E-01	23.03	NO	No_Regulation
challenge VS control	ATP1B1	-0.52	0.005918485	4.26E-02	418.91	NO	No_Regulation
challenge VS control	TIPRL	0.06	0.716621709	8.63E-01	22.58	NO	No_Regulation
challenge VS control	NME7	0.17	0.295065909	5.45E-01	28.39	NO	No_Regulation
challenge VS control	POGK	0.28	0.21817392	4.60E-01	9.81	NO	No_Regulation
challenge VS control	MPC2	-0.13	0.507245654	7.30E-01	27.14	NO	No_Regulation
challenge VS control	CREG1	-0.36	0.120348428	3.26E-01	11.87	NO	No_Regulation
challenge VS control	DCAF6	-0.03	0.827746622	9.21E-01	84.23	NO	No_Regulation
challenge VS control	GPA33	-0.78	1.08E-05	3.43E-04	47.11	NO	No_Regulation
challenge VS control	UCK2	0.38	0.030496579	1.33E-01	23.22	NO	No_Regulation
challenge VS control	TMCO1	-0.18	0.300953259	5.51E-01	41.1	NO	No_Regulation
challenge VS control	POU2F1	0.26	0.08084611	2.55E-01	49.76	NO	No_Regulation
challenge VS control	MGST3	-0.48	0.001665383	1.69E-02	97.65	NO	No_Regulation
challenge VS control	RFWD2	0.16	0.144418231	3.62E-01	118.01	NO	No_Regulation
challenge VS control	UFC1	0.12	0.574436285	7.79E-01	14.67	NO	No_Regulation
challenge VS control	NUF2	0.81	0.001053365	1.21E-02	7.91	NO	No_Regulation
challenge VS control	RGS5	-0.05	0.751053309	8.81E-01	46.28	NO	No_Regulation
challenge VS control	SDHC	-0.01	0.929303109	9.69E-01	34.21	NO	No_Regulation
challenge VS control	PFDN2	0.03	0.879213236	9.46E-01	13.64	NO	No_Regulation
challenge VS control	PRCC	0.34	0.112701243	3.12E-01	14.41	NO	No_Regulation
challenge VS control	FCRL5	1.09	6.99E-06	2.45E-04	16.65	YES	Up-Regulated in Sample Group
challenge VS control	RRNAD1	-0.19	0.465150997	6.97E-01	5.25	NO	No_Regulation
challenge VS control	MRPL24	0.68	0.004782845	3.67E-02	6.01	NO	No_Regulation
challenge VS control	PIGM	0.24	0.32294041	5.73E-01	9.97	NO	No_Regulation
challenge VS control	ISG20L2	0	0.989372737	9.95E-01	10.82	NO	No_Regulation
challenge VS control	HDGF	0.04	0.789008458	9.00E-01	68.28	NO	No_Regulation
challenge VS control	ABL2	0.02	0.900877416	9.56E-01	33.58	NO	No_Regulation
challenge VS control	XPR1	-0.45	4.38E-04	6.12E-03	58.84	NO	No_Regulation
challenge VS control	TOR1AIP1	-0.52	0.0106631	6.39E-02	11.84	NO	No_Regulation
challenge VS control	HMCN1	0.76	3.46E-04	5.18E-03	12.46	NO	No_Regulation
challenge VS control	RGL1	-0.13	0.332043817	5.81E-01	37.31	NO	No_Regulation
challenge VS control	LYPLAL1	-0.11	0.521730532	7.40E-01	32.49	NO	No_Regulation
challenge VS control	PRUNE	-0.03	0.900691593	9.56E-01	6.87	NO	No_Regulation
challenge VS control	SF3B4	0.05	0.821302748	9.18E-01	5.95	NO	No_Regulation
challenge VS control	TARS2	0.32	0.191726257	4.26E-01	5.67	NO	No_Regulation
challenge VS control	CGN	-0.76	2.03E-05	5.49E-04	41.27	NO	No_Regulation
challenge VS control	SNX27	-0.24	0.166303537	3.93E-01	21.36	NO	No_Regulation
challenge VS control	SETDB1	-0.04	0.81958968	9.17E-01	15.76	NO	No_Regulation
challenge VS control	MCL1	0.1	0.521151447	7.39E-01	40.06	NO	No_Regulation
challenge VS control	RFX5	0.43	0.072423766	2.37E-01	6.5	NO	No_Regulation
challenge VS control	PI4KB	-0.19	0.311847747	5.62E-01	16.34	NO	No_Regulation
challenge VS control	PIP5K1A	-0.2	0.282101369	5.31E-01	19.86	NO	No_Regulation
challenge VS control	ANP32E	0.54	0.005761319	4.18E-02	19.37	NO	No_Regulation
challenge VS control	FAM63A	-0.09	0.705108372	8.56E-01	5.17	NO	No_Regulation
challenge VS control	SELENBP1	0.03	0.860781163	9.36E-01	21.23	NO	No_Regulation
challenge VS control	CERS2	-0.56	0.010856256	6.46E-02	17.42	NO	No_Regulation
challenge VS control	ENSA	0.2	0.136868618	3.51E-01	50.83	NO	No_Regulation
challenge VS control	AC027612.6	0.07	0.751846614	8.82E-01	7.04	NO	No_Regulation
challenge VS control	MRPL9	0.05	0.846631465	9.29E-01	5.59	NO	No_Regulation
challenge VS control	ARNT	-0.35	0.032149029	1.38E-01	23.61	NO	No_Regulation
challenge VS control	POGZ	-0.3	0.027220966	1.22E-01	75.71	NO	No_Regulation
challenge VS control	C1orf56	0.02	0.941903163	9.73E-01	47.42	NO	No_Regulation
challenge VS control	GOLPH3L	0.36	0.042043354	1.65E-01	34.44	NO	No_Regulation
challenge VS control	GABPB2	-0.09	0.63831201	8.18E-01	19.13	NO	No_Regulation
challenge VS control	DTL	1.22	3.29E-07	2.23E-05	9.14	YES	Up-Regulated in Sample Group
challenge VS control	EIF2D	0.2	0.445432545	6.83E-01	5.18	NO	No_Regulation
challenge VS control	INTS7	0.68	3.29E-04	4.96E-03	20.09	NO	No_Regulation
challenge VS control	SMYD2	0.28	0.19278173	4.28E-01	14.36	NO	No_Regulation
challenge VS control	TP53BP2	-0.05	0.841650236	9.26E-01	13.54	NO	No_Regulation
challenge VS control	ATP8B2	-1.26	3.35E-09	4.75E-07	24.75	YES	Down-Regulated in Sample Group
challenge VS control	ADAM15	0.22	0.383638276	6.30E-01	5.7	NO	No_Regulation
challenge VS control	JTB	-0.21	0.211268384	4.51E-01	25.7	NO	No_Regulation
challenge VS control	RAB13	-0.06	0.756275425	8.84E-01	17.46	NO	No_Regulation
challenge VS control	TPM3	0.29	0.053395418	1.94E-01	82.92	NO	No_Regulation
challenge VS control	UBAP2L	0	0.982110691	9.92E-01	15.34	NO	No_Regulation
challenge VS control	SLC39A1	0.01	0.974417253	9.90E-01	7.64	NO	No_Regulation
challenge VS control	HAX1	-0.18	0.408663741	6.51E-01	11.22	NO	No_Regulation
challenge VS control	AQP10	-1.51	1.35E-08	1.63E-06	20.97	YES	Down-Regulated in Sample Group
challenge VS control	KCNN3	0.82	4.34E-04	6.09E-03	12.51	NO	No_Regulation
challenge VS control	C1orf43	-0.14	0.363932179	6.11E-01	31.19	NO	No_Regulation
challenge VS control	GATAD2B	-0.1	0.428028538	6.67E-01	45.97	NO	No_Regulation
challenge VS control	ILF2	0.78	1.64E-05	4.70E-04	22.04	NO	No_Regulation
challenge VS control	RIT1	-0.08	0.746145706	8.79E-01	8.03	NO	No_Regulation
challenge VS control	INTS3	0.18	0.356339194	6.05E-01	13.15	NO	No_Regulation
challenge VS control	C1orf131	0.03	0.877856896	9.45E-01	24.75	NO	No_Regulation
challenge VS control	GALNT2	0.29	0.038351971	1.55E-01	33.9	NO	No_Regulation
challenge VS control	TTC13	0.24	0.177961469	4.08E-01	23.89	NO	No_Regulation
challenge VS control	SCCPDH	0.08	0.680830212	8.43E-01	15.42	NO	No_Regulation
challenge VS control	LYST	0.12	0.323494283	5.73E-01	51.18	NO	No_Regulation
challenge VS control	RP5-862P8.2	-0.17	0.296760554	5.46E-01	39.99	NO	No_Regulation
challenge VS control	CEP170	0.3	0.126185658	3.35E-01	17.24	NO	No_Regulation
challenge VS control	ACP1	-0.11	0.556301983	7.66E-01	16.57	NO	No_Regulation
challenge VS control	SNAP47	-0.04	0.858176118	9.34E-01	7.92	NO	No_Regulation
challenge VS control	SRP9	0.03	0.877834192	9.45E-01	30.04	NO	No_Regulation
challenge VS control	NVL	-0.03	0.867147677	9.39E-01	27.88	NO	No_Regulation
challenge VS control	SDE2	-0.19	0.464890328	6.97E-01	5.45	NO	No_Regulation
challenge VS control	DEGS1	-0.52	0.011208014	6.60E-02	17.59	NO	No_Regulation
challenge VS control	FBXO28	0.11	0.449508446	6.86E-01	37.97	NO	No_Regulation
challenge VS control	ARF1	0.03	0.82715538	9.21E-01	80.39	NO	No_Regulation
challenge VS control	CNIH4	-0.1	0.575516728	7.79E-01	30.87	NO	No_Regulation
challenge VS control	ITPKB	0.16	0.427928563	6.67E-01	14.24	NO	No_Regulation
challenge VS control	GUK1	0.14	0.376233488	6.24E-01	25.05	NO	No_Regulation
challenge VS control	CDC42BPA	-0.37	6.20E-04	8.00E-03	295.51	NO	No_Regulation
challenge VS control	CNIH3	0.19	0.428478244	6.67E-01	7.13	NO	No_Regulation
challenge VS control	C1orf35	0	0.998844924	1.00E+00	10.38	NO	No_Regulation
challenge VS control	MBOAT2	0.34	0.068549701	2.28E-01	17.45	NO	No_Regulation
challenge VS control	PARP1	0.36	0.044659426	1.71E-01	29.07	NO	No_Regulation
challenge VS control	LBR	0.6	3.87E-04	5.61E-03	43.7	NO	No_Regulation
challenge VS control	EPHX1	-0.6	0.006762063	4.65E-02	14.62	NO	No_Regulation
challenge VS control	SOX13	-0.12	0.568946351	7.75E-01	14.1	NO	No_Regulation
challenge VS control	PLEKHA6	-0.13	0.282968298	5.32E-01	67.35	NO	No_Regulation
challenge VS control	PTPN7	0.26	0.322868101	5.73E-01	4.78	NO	No_Regulation
challenge VS control	PDIA6	0.65	5.89E-06	2.15E-04	70.18	NO	No_Regulation
challenge VS control	HNRNPLL	0.18	0.35037291	5.99E-01	65.52	NO	No_Regulation
challenge VS control	GALM	-0.01	0.939094851	9.73E-01	64.44	NO	No_Regulation
challenge VS control	CAMKMT	0.15	0.160824086	3.86E-01	149.66	NO	No_Regulation
challenge VS control	ABCG8	-0.7	0.001642629	1.67E-02	22.75	NO	No_Regulation
challenge VS control	EML4	0.1	0.416154477	6.57E-01	148.65	NO	No_Regulation
challenge VS control	RPS27A	0.15	0.355399775	6.04E-01	118.22	NO	No_Regulation
challenge VS control	WDPCP	0.32	0.038978794	1.57E-01	47.34	NO	No_Regulation
challenge VS control	VPS54	0.16	0.214636405	4.56E-01	60.15	NO	No_Regulation
challenge VS control	ASXL2	0.12	0.379716301	6.26E-01	52.31	NO	No_Regulation
challenge VS control	ETAA1	0.07	0.7793241	8.95E-01	8.2	NO	No_Regulation
challenge VS control	SNRPG	0.54	0.006354561	4.46E-02	17.45	NO	No_Regulation
challenge VS control	MEIS1	0.09	0.625836687	8.11E-01	36.91	NO	No_Regulation
challenge VS control	CIAO1	-0.11	0.56715616	7.73E-01	15.53	NO	No_Regulation
challenge VS control	SNRNP200	0.01	0.954072511	9.80E-01	27.68	NO	No_Regulation
challenge VS control	MRPS5	0.3	0.033165172	1.40E-01	58.97	NO	No_Regulation
challenge VS control	TPRKB	-0.27	0.202722428	4.41E-01	12.27	NO	No_Regulation
challenge VS control	EXOC6B	-0.5	1.90E-05	5.23E-04	240.95	NO	No_Regulation
challenge VS control	SFXN5	-0.13	0.426727919	6.66E-01	23.75	NO	No_Regulation
challenge VS control	DQX1	-0.28	0.179888162	4.10E-01	12.58	NO	No_Regulation
challenge VS control	DUSP11	-0.33	0.159367736	3.83E-01	8.65	NO	No_Regulation
challenge VS control	MALL	-0.02	0.939244309	9.73E-01	6.15	NO	No_Regulation
challenge VS control	RALB	-0.18	0.374971159	6.22E-01	19.15	NO	No_Regulation
challenge VS control	RABL2A	0.03	0.895257686	9.54E-01	5.26	NO	No_Regulation
challenge VS control	SLC20A1	-0.18	0.400448737	6.44E-01	9.41	NO	No_Regulation
challenge VS control	ZC3H8	0.32	0.084360698	2.63E-01	14.83	NO	No_Regulation
challenge VS control	AFF3	-0.02	0.917911989	9.65E-01	45.55	NO	No_Regulation
challenge VS control	UBXN4	0.16	0.117938785	3.21E-01	109.25	NO	No_Regulation
challenge VS control	SPOPL	-0.15	0.446327206	6.84E-01	19.85	NO	No_Regulation
challenge VS control	POLR2D	0.34	0.179572351	4.10E-01	7.2	NO	No_Regulation
challenge VS control	AMMECR1L	0.04	0.875480471	9.44E-01	6.64	NO	No_Regulation
challenge VS control	PKP4	0.09	0.339666258	5.87E-01	116.15	NO	No_Regulation
challenge VS control	SCRN3	-0.02	0.928917188	9.69E-01	15.09	NO	No_Regulation
challenge VS control	KIAA1715	0.02	0.899329078	9.55E-01	20.22	NO	No_Regulation
challenge VS control	TMEFF2	0.09	0.72551758	8.68E-01	4.86	NO	No_Regulation
challenge VS control	CDCA7	0.57	0.014276525	7.86E-02	18.24	NO	No_Regulation
challenge VS control	UBR3	-0.07	0.528557722	7.45E-01	73.3	NO	No_Regulation
challenge VS control	GULP1	-0.81	1.18E-06	6.21E-05	89.33	NO	No_Regulation
challenge VS control	HSPD1	0.79	5.65E-08	4.92E-06	142.72	NO	No_Regulation
challenge VS control	CCDC150	0.64	0.008426392	5.41E-02	7.26	NO	No_Regulation
challenge VS control	METTL21A	0.33	0.150104	3.69E-01	10.42	NO	No_Regulation
challenge VS control	PTH2R	-1.51	1.96E-09	3.21E-07	32.68	YES	Down-Regulated in Sample Group
challenge VS control	NBEAL1	-0.51	2.12E-06	9.82E-05	150.6	NO	No_Regulation
challenge VS control	KANSL1L	0.24	0.097096902	2.85E-01	42.47	NO	No_Regulation
challenge VS control	SPAG16	0.05	0.794476935	9.03E-01	28.51	NO	No_Regulation
challenge VS control	SUMF1	0.06	0.644134969	8.22E-01	93.33	NO	No_Regulation
challenge VS control	RHBDD1	0.29	0.027677878	1.24E-01	62.84	NO	No_Regulation
challenge VS control	HES6	0.54	0.04241529	1.66E-01	5.94	NO	No_Regulation
challenge VS control	ANKMY1	0.39	0.0334478	1.41E-01	27.87	NO	No_Regulation
challenge VS control	COPS7B	0.29	0.267335713	5.15E-01	4.97	NO	No_Regulation
challenge VS control	DIS3L2	0.18	0.193093256	4.28E-01	43.48	NO	No_Regulation
challenge VS control	FANCD2	1.02	1.12E-06	5.96E-05	15.94	YES	Up-Regulated in Sample Group
challenge VS control	TAMM41	0.12	0.514286999	7.34E-01	13.86	NO	No_Regulation
challenge VS control	VGLL4	-0.09	0.485796683	7.14E-01	67.44	NO	No_Regulation
challenge VS control	RAB5A	-0.06	0.704059293	8.55E-01	34.38	NO	No_Regulation
challenge VS control	FAM134A	-0.01	0.964089332	9.85E-01	11.19	NO	No_Regulation
challenge VS control	CTDSP1	-0.45	0.023857863	1.13E-01	13.75	NO	No_Regulation
challenge VS control	RQCD1	0.22	0.378714567	6.25E-01	38.65	NO	No_Regulation
challenge VS control	GMPPA	0.48	0.056105933	2.00E-01	9.19	NO	No_Regulation
