Sample_Group_VS_Control_Group	gene	log2FoldChange	pvalue	padj	mean_norm_counts	IS_Significant	Regulation_direction
challenge VS control	TSPAN6	0.14	0.584955495	7.84E-01	4.51	NO	No_Regulation
challenge VS control	DPM1	0.16	0.361303672	6.10E-01	21.96	NO	No_Regulation
challenge VS control	SCYL3	-0.05	0.823931183	9.19E-01	13.02	NO	No_Regulation
challenge VS control	C1orf112	-0.23	0.356581622	6.05E-01	6.6	NO	No_Regulation
challenge VS control	CFH	0.42	0.048909682	1.83E-01	25.95	NO	No_Regulation
challenge VS control	FUCA2	-0.09	0.634745516	8.16E-01	16.7	NO	No_Regulation
challenge VS control	GCLC	-0.31	0.036175458	1.50E-01	36.4	NO	No_Regulation
challenge VS control	NFYA	0.11	0.611825415	8.02E-01	11.48	NO	No_Regulation
challenge VS control	STPG1	-0.47	0.043813626	1.70E-01	7.26	NO	No_Regulation
challenge VS control	NIPAL3	-0.08	0.611500631	8.02E-01	31.7	NO	No_Regulation
challenge VS control	LAS1L	0.42	0.109445717	3.06E-01	4.58	NO	No_Regulation
challenge VS control	ENPP4	-0.14	0.588462996	7.86E-01	7.9	NO	No_Regulation
challenge VS control	CFTR	-0.34	0.035018164	1.46E-01	225.28	NO	No_Regulation
challenge VS control	ANKIB1	-0.08	0.458250957	6.92E-01	112.22	NO	No_Regulation
challenge VS control	CYP51A1	0.05	0.807567428	9.10E-01	41.97	NO	No_Regulation
challenge VS control	KRIT1	-0.07	0.576241663	7.79E-01	42.28	NO	No_Regulation
challenge VS control	RAD52	-0.15	0.505210221	7.28E-01	12.33	NO	No_Regulation
challenge VS control	BAD	-0.13	0.589303143	7.86E-01	6.44	NO	No_Regulation
challenge VS control	LAP3	0.73	5.52E-05	1.20E-03	36.14	NO	No_Regulation
challenge VS control	HS3ST1	0.34	0.176819976	4.07E-01	8.4	NO	No_Regulation
challenge VS control	AOC1	-1.08	3.91E-07	2.50E-05	22.31	YES	Down-Regulated in Sample Group
challenge VS control	MAD1L1	0.29	0.088850267	2.71E-01	20.4	NO	No_Regulation
challenge VS control	LASP1	-0.35	0.015862194	8.45E-02	63.13	NO	No_Regulation
challenge VS control	TMEM176A	-0.56	0.030558246	1.33E-01	9.56	NO	No_Regulation
challenge VS control	M6PR	0.21	0.305232782	5.55E-01	15.39	NO	No_Regulation
challenge VS control	KLHL13	-0.28	0.203131662	4.41E-01	17.1	NO	No_Regulation
challenge VS control	ICA1	-0.04	0.827215914	9.21E-01	39.05	NO	No_Regulation
challenge VS control	ALS2	-0.18	0.335494066	5.83E-01	21.39	NO	No_Regulation
challenge VS control	CASP10	0.3	0.110971197	3.09E-01	25.7	NO	No_Regulation
challenge VS control	CFLAR	-0.2	0.077215353	2.47E-01	94.6	NO	No_Regulation
challenge VS control	TFPI	-0.67	1.69E-05	4.83E-04	98.43	NO	No_Regulation
challenge VS control	NDUFAF7	-0.19	0.318657681	5.69E-01	13.56	NO	No_Regulation
challenge VS control	RBM5	0.09	0.456531279	6.91E-01	72.52	NO	No_Regulation
challenge VS control	SARM1	-0.71	4.77E-04	6.57E-03	14.66	NO	No_Regulation
challenge VS control	POLDIP2	0.22	0.311002681	5.61E-01	11.14	NO	No_Regulation
challenge VS control	PLXND1	-0.2	0.448049285	6.85E-01	6.39	NO	No_Regulation
challenge VS control	AK2	-0.15	0.382661774	6.29E-01	27.84	NO	No_Regulation
challenge VS control	CD38	0.69	0.001603634	1.65E-02	50.99	NO	No_Regulation
challenge VS control	FKBP4	0.2	0.374177016	6.22E-01	9.62	NO	No_Regulation
challenge VS control	KDM1A	0.13	0.455099355	6.90E-01	24.3	NO	No_Regulation
challenge VS control	RBM6	-0.06	0.66250045	8.32E-01	182.51	NO	No_Regulation
challenge VS control	RECQL	0.32	0.134239118	3.48E-01	12.68	NO	No_Regulation
challenge VS control	VPS50	0.29	0.037827849	1.54E-01	39.81	NO	No_Regulation
challenge VS control	NDUFAB1	0.39	0.039578135	1.59E-01	31.68	NO	No_Regulation
challenge VS control	PDK4	-0.84	2.64E-05	6.76E-04	74.54	NO	No_Regulation
challenge VS control	SLC25A13	-0.23	0.05097222	1.87E-01	63.36	NO	No_Regulation
challenge VS control	ST7	0.37	0.059118098	2.07E-01	17.35	NO	No_Regulation
challenge VS control	CDC27	0.13	0.288586952	5.38E-01	54.88	NO	No_Regulation
challenge VS control	HCCS	0.22	0.328529803	5.78E-01	7.62	NO	No_Regulation
challenge VS control	UPF1	-0.08	0.686344659	8.46E-01	16.93	NO	No_Regulation
challenge VS control	SKAP2	-0.19	0.162269055	3.88E-01	60.97	NO	No_Regulation
challenge VS control	SLC25A5	-0.38	0.017780686	9.08E-02	191.38	NO	No_Regulation
challenge VS control	CCDC109B	0.31	0.164508473	3.90E-01	9.65	NO	No_Regulation
challenge VS control	POLR2J	-0.29	0.21947569	4.61E-01	6.89	NO	No_Regulation
challenge VS control	THSD7A	0.54	0.034297923	1.44E-01	14.34	NO	No_Regulation
challenge VS control	LIG3	0.52	0.029593889	1.30E-01	8.67	NO	No_Regulation
challenge VS control	RPAP3	0.1	0.65135635	8.25E-01	13.25	NO	No_Regulation
challenge VS control	ACSM3	-0.25	0.293054853	5.42E-01	9.8	NO	No_Regulation
challenge VS control	CIAPIN1	0.08	0.739982435	8.76E-01	6.9	NO	No_Regulation
challenge VS control	SPPL2B	-0.26	0.176020095	4.06E-01	16.09	NO	No_Regulation
challenge VS control	PRKAR2B	0.3	0.206693638	4.46E-01	11.15	NO	No_Regulation
challenge VS control	MSL3	0.41	0.083704059	2.61E-01	7.89	NO	No_Regulation
challenge VS control	CREBBP	-0.09	0.422977636	6.63E-01	89.94	NO	No_Regulation
challenge VS control	GCFC2	-0.12	0.463255458	6.96E-01	20.35	NO	No_Regulation
challenge VS control	CROT	-0.62	1.69E-04	2.88E-03	47.61	NO	No_Regulation
challenge VS control	KMT2E	-0.1	0.283301427	5.32E-01	182.52	NO	No_Regulation
challenge VS control	RHBDD2	-0.67	0.002638388	2.37E-02	6.73	NO	No_Regulation
challenge VS control	IBTK	-0.02	0.904520818	9.58E-01	58.66	NO	No_Regulation
challenge VS control	ZNF195	0.33	0.093660095	2.80E-01	13.6	NO	No_Regulation
challenge VS control	MYCBP2	0.43	5.13E-04	6.95E-03	121.03	NO	No_Regulation
challenge VS control	FBXL3	-0.24	0.168222628	3.96E-01	27.04	NO	No_Regulation
challenge VS control	ITGAL	0.73	9.35E-04	1.10E-02	15.86	NO	No_Regulation
challenge VS control	PDK2	-0.78	0.001104047	1.26E-02	7.59	NO	No_Regulation
challenge VS control	ITGA3	-0.34	0.063431191	2.18E-01	24.02	NO	No_Regulation
challenge VS control	ZFX	-0.04	0.818358599	9.16E-01	48.08	NO	No_Regulation
challenge VS control	LAMP2	-0.21	0.279938269	5.29E-01	23.86	NO	No_Regulation
challenge VS control	GDE1	0.09	0.599456011	7.93E-01	19.29	NO	No_Regulation
challenge VS control	C19orf60	0.11	0.650334902	8.25E-01	7.2	NO	No_Regulation
challenge VS control	CRLF1	0.08	0.781794979	8.97E-01	15.31	NO	No_Regulation
challenge VS control	OSBPL7	-0.32	0.116016703	3.18E-01	13.87	NO	No_Regulation
challenge VS control	TMEM98	-0.45	0.028533926	1.27E-01	14.51	NO	No_Regulation
challenge VS control	MAP3K14	0.01	0.927117223	9.69E-01	32.03	NO	No_Regulation
challenge VS control	AP2B1	0	0.976550092	9.91E-01	29.37	NO	No_Regulation
challenge VS control	ZNF263	0.04	0.860136632	9.36E-01	11.93	NO	No_Regulation
challenge VS control	TNFRSF12A	-0.78	0.001676825	1.69E-02	9.96	NO	No_Regulation
challenge VS control	MAP3K9	-0.14	0.543645834	7.56E-01	11.37	NO	No_Regulation
challenge VS control	RALA	-0.36	0.006139103	4.35E-02	71.75	NO	No_Regulation
challenge VS control	BAIAP2L1	0.05	0.701109044	8.54E-01	62.66	NO	No_Regulation
challenge VS control	KDM7A	0.01	0.914491746	9.63E-01	82.97	NO	No_Regulation
challenge VS control	AGK	0.49	0.018835016	9.51E-02	13.02	NO	No_Regulation
challenge VS control	ALDH3B1	-0.49	0.041350474	1.63E-01	7.66	NO	No_Regulation
challenge VS control	TTC22	-0.41	0.048143039	1.81E-01	10.24	NO	No_Regulation
challenge VS control	PHTF2	0.22	0.176371358	4.06E-01	30.88	NO	No_Regulation
challenge VS control	FARP2	0.19	0.109915033	3.07E-01	75.61	NO	No_Regulation
challenge VS control	USH1C	-0.31	0.010866558	6.47E-02	62.26	NO	No_Regulation
challenge VS control	GGCT	0.43	0.044836247	1.72E-01	15.21	NO	No_Regulation
challenge VS control	DBF4	0.92	8.44E-06	2.86E-04	14.03	NO	No_Regulation
challenge VS control	IFRD1	-0.51	0.007717482	5.12E-02	30.49	NO	No_Regulation
challenge VS control	COX10	0.13	0.452031172	6.88E-01	35.76	NO	No_Regulation
challenge VS control	GTF2IRD1	-0.25	0.190750958	4.25E-01	30.14	NO	No_Regulation
challenge VS control	PAF1	-0.05	0.829785409	9.21E-01	6.94	NO	No_Regulation
challenge VS control	VPS41	-0.17	0.19772044	4.34E-01	39.52	NO	No_Regulation
challenge VS control	ARHGAP44	0.04	0.785442103	8.98E-01	58	NO	No_Regulation
challenge VS control	ELAC2	0.06	0.808923404	9.11E-01	8.81	NO	No_Regulation
challenge VS control	SCIN	-0.86	5.33E-07	3.27E-05	70.24	NO	No_Regulation
challenge VS control	ARSD	-0.2	0.325075254	5.75E-01	20.29	NO	No_Regulation
challenge VS control	ADIPOR2	-0.28	0.061695588	2.13E-01	65.29	NO	No_Regulation
challenge VS control	UPP2	-0.54	0.022267356	1.07E-01	7.53	NO	No_Regulation
challenge VS control	MARK4	-0.09	0.623645774	8.10E-01	21.82	NO	No_Regulation
challenge VS control	PROM1	-0.71	0.004831041	3.69E-02	10.84	NO	No_Regulation
challenge VS control	CEACAM21	0.18	0.444996435	6.83E-01	9.4	NO	No_Regulation
challenge VS control	PAFAH1B1	-0.24	0.041930455	1.65E-01	102.76	NO	No_Regulation
challenge VS control	NOS2	1.28	6.17E-07	3.69E-05	9.62	YES	Up-Regulated in Sample Group
challenge VS control	KIAA0100	0.12	0.477960015	7.07E-01	25.17	NO	No_Regulation
challenge VS control	SLC13A2	-1.38	6.61E-10	1.35E-07	40.85	YES	Down-Regulated in Sample Group
challenge VS control	GAS7	0.21	0.352893206	6.02E-01	12.59	NO	No_Regulation
challenge VS control	ST7L	-0.01	0.947782209	9.76E-01	25.2	NO	No_Regulation
challenge VS control	LUC7L	-0.06	0.728691329	8.70E-01	28.04	NO	No_Regulation
challenge VS control	TSR3	-0.08	0.746917547	8.79E-01	7.46	NO	No_Regulation
challenge VS control	TEAD3	-0.06	0.778276655	8.95E-01	12.92	NO	No_Regulation
challenge VS control	DNAJC11	0.41	0.025941235	1.19E-01	20.64	NO	No_Regulation
challenge VS control	MYLIP	-0.35	0.113119968	3.13E-01	12.79	NO	No_Regulation
challenge VS control	E2F2	0.38	0.150942841	3.71E-01	5.1	NO	No_Regulation
challenge VS control	PSMB1	-0.1	0.515625215	7.35E-01	36.51	NO	No_Regulation
challenge VS control	JARID2	-0.24	0.089449242	2.71E-01	79.04	NO	No_Regulation
challenge VS control	CDKL5	-0.34	0.10952577	3.07E-01	8.94	NO	No_Regulation
challenge VS control	CDK11A	-0.2	0.248940152	4.97E-01	25.85	NO	No_Regulation
challenge VS control	NADK	-0.36	0.146086242	3.64E-01	6.28	NO	No_Regulation
challenge VS control	CYTH3	-0.39	0.009898819	6.05E-02	43.47	NO	No_Regulation
challenge VS control	SYPL1	-0.12	0.493226464	7.19E-01	19.1	NO	No_Regulation
challenge VS control	CYB561	-0.02	0.935428068	9.72E-01	18.55	NO	No_Regulation
challenge VS control	SPAG9	-0.25	0.047170581	1.78E-01	88.13	NO	No_Regulation
challenge VS control	AASS	0.36	0.174231155	4.04E-01	5.97	NO	No_Regulation
challenge VS control	PLEKHG6	-0.74	2.56E-04	4.04E-03	22.45	NO	No_Regulation
challenge VS control	SS18L2	-0.44	0.037455418	1.53E-01	10.78	NO	No_Regulation
challenge VS control	MPND	-0.29	0.256688633	5.05E-01	5.18	NO	No_Regulation
challenge VS control	MGST1	0.52	3.66E-04	5.38E-03	68.67	NO	No_Regulation
challenge VS control	CRY1	-0.45	0.036329168	1.50E-01	23.41	NO	No_Regulation
challenge VS control	NFIX	0.22	0.256947108	5.05E-01	25.08	NO	No_Regulation
challenge VS control	ST3GAL1	0.28	0.220484591	4.63E-01	12.26	NO	No_Regulation
challenge VS control	IL32	0.15	0.406239998	6.49E-01	24.5	NO	No_Regulation
challenge VS control	PKD1	-0.18	0.500568193	7.25E-01	4.45	NO	No_Regulation
challenge VS control	MED24	0.36	0.114578627	3.15E-01	9.16	NO	No_Regulation
challenge VS control	RHOBTB2	-1.18	7.12E-06	2.48E-04	8.21	YES	Down-Regulated in Sample Group
challenge VS control	HEATR5B	-0.13	0.417999905	6.59E-01	33.08	NO	No_Regulation
challenge VS control	SEC62	0.01	0.950633811	9.78E-01	87.33	NO	No_Regulation
challenge VS control	RPS20	0.28	0.097882043	2.87E-01	98.52	NO	No_Regulation
challenge VS control	CSDE1	-0.29	0.004430323	3.48E-02	124.42	NO	No_Regulation
challenge VS control	UBE3C	0.1	0.452838622	6.89E-01	71	NO	No_Regulation
challenge VS control	REV3L	0.17	0.092896638	2.78E-01	113.52	NO	No_Regulation
challenge VS control	IYD	-1.03	5.67E-06	2.09E-04	18.86	YES	Down-Regulated in Sample Group
challenge VS control	FAM76A	-0.22	0.35257681	6.02E-01	9.58	NO	No_Regulation
challenge VS control	TRAF3IP3	0.14	0.509744091	7.32E-01	13.46	NO	No_Regulation
challenge VS control	VTA1	0	0.977508081	9.91E-01	46.67	NO	No_Regulation
challenge VS control	MLXIPL	-0.8	9.33E-05	1.82E-03	21.9	NO	No_Regulation
challenge VS control	BAZ1B	0.02	0.841133988	9.26E-01	67.75	NO	No_Regulation
challenge VS control	RANBP9	-0.18	0.197825939	4.34E-01	43.89	NO	No_Regulation
challenge VS control	ETV7	0.65	0.004028677	3.25E-02	9.49	NO	No_Regulation
challenge VS control	SPRTN	0.17	0.505219277	7.28E-01	4.94	NO	No_Regulation
challenge VS control	ZNF207	-0.01	0.897884161	9.55E-01	75.38	NO	No_Regulation
challenge VS control	UQCRC1	0.18	0.294563407	5.45E-01	40.78	NO	No_Regulation
challenge VS control	STARD3NL	-0.05	0.836894486	9.24E-01	10.69	NO	No_Regulation
challenge VS control	CD9	0.39	0.051916739	1.90E-01	21.35	NO	No_Regulation
challenge VS control	NCAPD2	0.49	0.015814282	8.44E-02	17.51	NO	No_Regulation
challenge VS control	PHF7	-0.17	0.511599213	7.32E-01	4.91	NO	No_Regulation
challenge VS control	NISCH	-0.08	0.716627454	8.63E-01	9.83	NO	No_Regulation
challenge VS control	STAB1	0.14	0.578545908	7.81E-01	5.94	NO	No_Regulation
challenge VS control	IDS	-0.63	2.18E-04	3.55E-03	25.74	NO	No_Regulation
challenge VS control	PRSS3	-0.23	0.085894174	2.66E-01	101.63	NO	No_Regulation
challenge VS control	SCMH1	-0.17	0.121230297	3.27E-01	93.46	NO	No_Regulation
challenge VS control	FYN	0.35	0.035661073	1.48E-01	56.51	NO	No_Regulation
challenge VS control	HIVEP2	0.11	0.439016651	6.77E-01	47.96	NO	No_Regulation
challenge VS control	ELOA	0.1	0.63429828	8.16E-01	13.52	NO	No_Regulation
challenge VS control	LYPLA2	0.07	0.764379386	8.88E-01	9	NO	No_Regulation
challenge VS control	CLCN6	0.1	0.683768232	8.45E-01	7.11	NO	No_Regulation
challenge VS control	MRC2	-0.09	0.720986628	8.66E-01	7	NO	No_Regulation
challenge VS control	NME1-NME2	0.95	9.69E-05	1.87E-03	8.41	NO	No_Regulation
challenge VS control	TSPAN9	-0.19	0.431711192	6.70E-01	10.91	NO	No_Regulation
challenge VS control	BTBD7	-0.02	0.83454949	9.23E-01	77.59	NO	No_Regulation
challenge VS control	ABHD5	-0.75	1.47E-04	2.61E-03	30.3	NO	No_Regulation
challenge VS control	AKAP8L	0.02	0.930660615	9.70E-01	20.51	NO	No_Regulation
challenge VS control	MBTD1	0.07	0.730417932	8.71E-01	54.18	NO	No_Regulation
challenge VS control	UTP18	0.51	0.029479176	1.30E-01	7.72	NO	No_Regulation
challenge VS control	RNF216	0.23	0.162284742	3.88E-01	34.06	NO	No_Regulation
challenge VS control	TTC19	-0.27	0.039469214	1.58E-01	42.54	NO	No_Regulation
challenge VS control	PTBP1	0.23	0.138254121	3.53E-01	30.07	NO	No_Regulation
challenge VS control	LARS2	0.29	0.130313321	3.41E-01	18.23	NO	No_Regulation
challenge VS control	PIK3C2A	-0.14	0.265492157	5.13E-01	64.63	NO	No_Regulation
challenge VS control	ANLN	1.13	2.38E-06	1.07E-04	9.72	YES	Up-Regulated in Sample Group
challenge VS control	RABGAP1	0.03	0.827250132	9.21E-01	64.35	NO	No_Regulation
challenge VS control	DCN	0.22	0.27618383	5.25E-01	29.63	NO	No_Regulation
challenge VS control	PPP5C	0.03	0.900168982	9.56E-01	8.82	NO	No_Regulation
challenge VS control	CEP68	0.19	0.411704237	6.53E-01	10.43	NO	No_Regulation
challenge VS control	MAP4K3	-0.26	0.031890853	1.37E-01	74.16	NO	No_Regulation
challenge VS control	TYROBP	0.05	0.86614104	9.39E-01	5.14	NO	No_Regulation
challenge VS control	TMEM159	-0.25	0.314301996	5.65E-01	8.13	NO	No_Regulation
challenge VS control	BRCA1	0.24	0.217693976	4.59E-01	29.85	NO	No_Regulation
challenge VS control	ERCC1	-0.21	0.354804439	6.04E-01	8.06	NO	No_Regulation
challenge VS control	SEMA3B	-0.58	0.007245737	4.88E-02	18.16	NO	No_Regulation
challenge VS control	MBTPS2	-0.22	0.295565267	5.46E-01	10.86	NO	No_Regulation
challenge VS control	EXTL3	0.61	0.017070551	8.85E-02	6.6	NO	No_Regulation
challenge VS control	NR1H4	0.17	0.287405536	5.36E-01	55.16	NO	No_Regulation
challenge VS control	ELOVL5	0.34	0.08142809	2.57E-01	15.01	NO	No_Regulation
challenge VS control	ALOX5	0.37	0.090726954	2.74E-01	14.62	NO	No_Regulation
challenge VS control	KDM5D	0.11	0.562729755	7.70E-01	5.42	NO	No_Regulation
challenge VS control	CALCOCO1	-0.62	0.007799733	5.15E-02	6.11	NO	No_Regulation
challenge VS control	UBR7	-0.09	0.695002768	8.51E-01	8.93	NO	No_Regulation
challenge VS control	MAP4K5	-0.02	0.891311021	9.52E-01	70.34	NO	No_Regulation
challenge VS control	PSMC4	0.22	0.283903457	5.33E-01	12	NO	No_Regulation
challenge VS control	MAN2B2	-0.31	0.226307601	4.71E-01	5.65	NO	No_Regulation
challenge VS control	SLC25A39	0.23	0.255393364	5.04E-01	13.34	NO	No_Regulation
challenge VS control	MVP	-0.12	0.367604439	6.15E-01	79.24	NO	No_Regulation
challenge VS control	NUB1	-0.18	0.231965753	4.77E-01	58.89	NO	No_Regulation
challenge VS control	PGM3	0.47	0.003258119	2.78E-02	23.91	NO	No_Regulation
challenge VS control	CLK1	0.01	0.967295215	9.87E-01	29.03	NO	No_Regulation
challenge VS control	POLR3B	0.47	0.03335349	1.41E-01	10.41	NO	No_Regulation
challenge VS control	ANGEL1	0.52	0.037956552	1.54E-01	7.89	NO	No_Regulation
challenge VS control	RNF14	-0.01	0.965395827	9.86E-01	13.65	NO	No_Regulation
challenge VS control	DNASE1L1	-0.58	0.026787866	1.21E-01	5.18	NO	No_Regulation
challenge VS control	DDX11	0.1	0.691406897	8.49E-01	5.64	NO	No_Regulation
challenge VS control	HEBP1	-0.64	2.00E-04	3.30E-03	60.54	NO	No_Regulation
challenge VS control	GPRC5A	-0.8	9.25E-04	1.09E-02	11.91	NO	No_Regulation
challenge VS control	CD6	0.07	0.781529582	8.97E-01	5.02	NO	No_Regulation
challenge VS control	TACC3	0.97	8.80E-06	2.96E-04	10.98	NO	No_Regulation
challenge VS control	UFL1	0.04	0.740344022	8.77E-01	54.53	NO	No_Regulation
challenge VS control	POLA2	0.22	0.351472098	6.00E-01	8.31	NO	No_Regulation
challenge VS control	ZC3H3	-0.16	0.508019534	7.30E-01	7.06	NO	No_Regulation
challenge VS control	CAPN1	-0.09	0.654039944	8.27E-01	16.95	NO	No_Regulation
challenge VS control	MDH1	0.15	0.337343452	5.85E-01	34.92	NO	No_Regulation
challenge VS control	SLC30A9	0.02	0.859035051	9.35E-01	61.01	NO	No_Regulation
challenge VS control	MTMR11	-0.92	5.68E-07	3.42E-05	21.82	NO	No_Regulation
challenge VS control	COX15	0.19	0.371359929	6.19E-01	16.44	NO	No_Regulation
challenge VS control	CCDC88C	0.4	0.012276069	7.04E-02	38.83	NO	No_Regulation
challenge VS control	YAF2	-0.21	0.195351491	4.31E-01	53.5	NO	No_Regulation
challenge VS control	ZMYND11	-0.17	0.203623922	4.42E-01	56.68	NO	No_Regulation
challenge VS control	DPEP1	-1.03	1.18E-05	3.64E-04	14.3	YES	Down-Regulated in Sample Group
challenge VS control	BID	0.48	0.043333849	1.68E-01	6.43	NO	No_Regulation
challenge VS control	MATR3	0.41	6.41E-04	8.18E-03	82.34	NO	No_Regulation
challenge VS control	NPC1L1	-1.04	1.64E-06	8.05E-05	24.84	YES	Down-Regulated in Sample Group
challenge VS control	XYLT2	0.01	0.97967342	9.92E-01	5.94	NO	No_Regulation
challenge VS control	NUDCD3	0.12	0.451219994	6.88E-01	27.58	NO	No_Regulation
challenge VS control	CHDH	0.19	0.353223317	6.02E-01	15.9	NO	No_Regulation
challenge VS control	IL20RA	0.45	0.068961258	2.29E-01	6.7	NO	No_Regulation
challenge VS control	CLCA1	-0.03	0.841801294	9.26E-01	292.85	NO	No_Regulation
challenge VS control	GLT8D1	-0.09	0.705955006	8.57E-01	7.66	NO	No_Regulation
challenge VS control	ATP2C1	0.32	0.026951063	1.21E-01	42.4	NO	No_Regulation
challenge VS control	IGF1	0.56	0.017877529	9.12E-02	16.88	NO	No_Regulation
challenge VS control	RALBP1	0.08	0.619767734	8.08E-01	30.09	NO	No_Regulation
challenge VS control	RUFY3	0.18	0.210437991	4.50E-01	50.64	NO	No_Regulation
challenge VS control	CNTN1	0.15	0.553268906	7.64E-01	5.92	NO	No_Regulation
challenge VS control	WWTR1	-0.15	0.491960649	7.18E-01	24.15	NO	No_Regulation
challenge VS control	AGPS	0.16	0.320431864	5.71E-01	35.01	NO	No_Regulation
challenge VS control	TTC27	0.29	0.159744574	3.84E-01	21.6	NO	No_Regulation
challenge VS control	PHLDB1	-0.41	0.067689455	2.27E-01	8.92	NO	No_Regulation
challenge VS control	PRDM11	0.08	0.756299225	8.84E-01	7.03	NO	No_Regulation
challenge VS control	SYT13	0.77	0.001269289	1.39E-02	7.33	NO	No_Regulation
challenge VS control	CD74	-0.16	0.465314488	6.97E-01	222.12	NO	No_Regulation
challenge VS control	ZRANB1	0.04	0.823914737	9.19E-01	19.78	NO	No_Regulation
challenge VS control	ZFP64	0	0.995794942	9.98E-01	14.47	NO	No_Regulation
challenge VS control	MNAT1	0.17	0.269529904	5.18E-01	28.13	NO	No_Regulation
challenge VS control	SAMD4A	-0.5	0.005001289	3.79E-02	27.69	NO	No_Regulation
challenge VS control	RUNX3	0.13	0.510981888	7.32E-01	20.54	NO	No_Regulation
challenge VS control	MRE11A	0.18	0.405232207	6.48E-01	14.81	NO	No_Regulation
challenge VS control	SERPINB1	-0.29	0.024025708	1.13E-01	74.39	NO	No_Regulation
challenge VS control	SLC7A9	-0.59	6.76E-04	8.52E-03	27.45	NO	No_Regulation
challenge VS control	SPAST	-0.12	0.514009573	7.34E-01	24.37	NO	No_Regulation
challenge VS control	NRXN3	0.73	0.001169216	1.31E-02	43.93	NO	No_Regulation
challenge VS control	OSBPL5	0.08	0.749379888	8.81E-01	8.16	NO	No_Regulation
challenge VS control	AQR	0.1	0.441757512	6.79E-01	36.85	NO	No_Regulation
challenge VS control	CPS1	0.22	0.075415661	2.43E-01	243.19	NO	No_Regulation
challenge VS control	FHL1	0.13	0.563198536	7.71E-01	16.18	NO	No_Regulation
challenge VS control	RTFDC1	-0.06	0.732158395	8.72E-01	16.96	NO	No_Regulation
challenge VS control	SLC45A4	0.43	0.083922077	2.62E-01	7.04	NO	No_Regulation
challenge VS control	RNF10	-0.14	0.441309014	6.79E-01	51.47	NO	No_Regulation
challenge VS control	ZNF839	0.08	0.730150295	8.71E-01	7.36	NO	No_Regulation
challenge VS control	ZDHHC6	-0.25	0.10047025	2.92E-01	25.16	NO	No_Regulation
challenge VS control	GRAMD1B	-0.87	4.62E-06	1.79E-04	51.9	NO	No_Regulation
challenge VS control	RNH1	0.22	0.274221355	5.23E-01	12.33	NO	No_Regulation
challenge VS control	NDUFS1	-0.14	0.228811624	4.73E-01	76.78	NO	No_Regulation
challenge VS control	RB1CC1	-0.59	2.48E-07	1.78E-05	92.68	NO	No_Regulation
challenge VS control	ERP44	0.01	0.902177905	9.57E-01	83.55	NO	No_Regulation
challenge VS control	ALAS1	-0.45	0.025770294	1.18E-01	13.38	NO	No_Regulation
challenge VS control	BIRC3	1.03	2.78E-07	1.94E-05	43.79	YES	Up-Regulated in Sample Group
challenge VS control	AKAP11	0.21	0.28818364	5.37E-01	31.19	NO	No_Regulation
challenge VS control	GLRX2	-0.32	0.224127229	4.67E-01	5.78	NO	No_Regulation
challenge VS control	SNAPC1	-0.11	0.646931738	8.23E-01	9.76	NO	No_Regulation
challenge VS control	DERA	-0.61	2.96E-04	4.56E-03	49.43	NO	No_Regulation
challenge VS control	STRAP	0.17	0.294504079	5.45E-01	23.72	NO	No_Regulation
challenge VS control	ABCC2	-1.2	4.52E-09	6.26E-07	61.3	YES	Down-Regulated in Sample Group
challenge VS control	DEF6	0.09	0.722865809	8.67E-01	5.55	NO	No_Regulation
challenge VS control	PLEKHO1	0.22	0.337400038	5.85E-01	8.13	NO	No_Regulation
challenge VS control	GCLM	-1.13	8.52E-09	1.10E-06	37.74	YES	Down-Regulated in Sample Group
challenge VS control	UBR2	-0.05	0.650762388	8.25E-01	96.01	NO	No_Regulation
challenge VS control	DEPDC1	1.39	4.30E-08	3.99E-06	5.5	YES	Up-Regulated in Sample Group
challenge VS control	CCDC28A	-0.2	0.375905989	6.23E-01	9.06	NO	No_Regulation
challenge VS control	PHF20	-0.06	0.680241297	8.43E-01	26.4	NO	No_Regulation
challenge VS control	NR1H3	-0.35	0.06455793	2.21E-01	14.59	NO	No_Regulation
challenge VS control	TYMP	0.41	0.129908839	3.40E-01	5.39	NO	No_Regulation
challenge VS control	SEC63	0.2	0.058416736	2.06E-01	64.56	NO	No_Regulation
challenge VS control	KPNA6	-0.05	0.830034751	9.21E-01	12.39	NO	No_Regulation
challenge VS control	VIM	0.08	0.676971333	8.40E-01	52.73	NO	No_Regulation
challenge VS control	FAS	0.51	0.042168949	1.65E-01	6.88	NO	No_Regulation
challenge VS control	CD44	0.52	0.00606189	4.32E-02	61.01	NO	No_Regulation
challenge VS control	AGPAT4	0.33	0.178648566	4.09E-01	6.11	NO	No_Regulation
challenge VS control	SLAMF7	0.94	4.45E-06	1.76E-04	22.92	NO	No_Regulation
challenge VS control	BTN3A1	0.57	0.006046564	4.32E-02	20.62	NO	No_Regulation
challenge VS control	MIPEP	0.42	0.037224209	1.53E-01	15.17	NO	No_Regulation
challenge VS control	PRKCH	0.12	0.370046075	6.17E-01	69.73	NO	No_Regulation
challenge VS control	IFNGR1	-0.24	0.157751869	3.81E-01	46.16	NO	No_Regulation
challenge VS control	VRK2	0.36	0.014599709	8.00E-02	38.16	NO	No_Regulation
challenge VS control	TNFRSF1B	0.24	0.280447946	5.29E-01	14.65	NO	No_Regulation
